year,month,group,name,prefer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,A,B,C,D,E,PR,ST,L,AL,WH,OH
2019,12,S1,M1,C,A,D,D,B,L,C,C,C,L,L,L,A,D,B,B,B,B,L,C,L,L,L,A,A,L,A,A,A,A,D,B,8,6,4,4,0,4,0,9,0,192,16
2019,12,S1,M2,A,B,L,L,L,D,B,B,B,B,B,L,B,E,C,C,C,C,L,B,B,B,B,B,B,L,C,C,AL,L,L,L,0,13,6,1,1,1,1,9,1,176,8
2019,12,S1,M3,A,C,E,E,C,L,A,A,A,A,A,D,L,L,L,L,L,L,D,A,A,A,A,AL,L,D,B,B,B,B,L,A,10,4,2,3,2,13,0,9,1,188,20
2019,12,S1,M4,C,L,L,L,A,E,L,L,L,C,C,E,C,L,A,A,A,A,E,L,C,C,C,C,C,E,L,AL,C,C,E,C,5,0,11,0,5,16,2,9,1,188,20
2019,12,S2,M5,C,L,L,D,D,A,A,C,C,L,L,B,B,B,B,B,B,L,L,D,A,A,L,L,C,C,C,L,C,C,C,C,4,6,9,3,0,9,1,9,0,188,12
2019,12,S2,M6,A,B,B,L,E,C,C,L,L,A,A,A,C,C,C,L,L,A,D,E,L,L,A,D,A,A,L,A,A,A,A,L,11,2,5,2,2,13,2,9,0,192,16
2019,12,S2,M7,A,A,A,E,L,B,B,B,B,B,B,L,A,A,L,A,A,B,E,L,B,B,B,E,L,L,A,C,L,L,L,A,8,10,1,0,3,8,5,9,0,188,12
2019,12,S2,M8,C,C,C,L,L,L,L,A,A,C,C,C,L,L,A,C,C,C,L,L,C,C,C,L,B,B,B,B,B,B,B,B,3,8,11,0,0,11,2,9,0,176,0
