year,month,group,name,prefer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,A,B,C,D,E,PR,ST,L,AL,WH,OH
2019,4,S1,M1,C,B,B,L,A,D,C,C,L,B,L,A,A,D,A,L,L,L,D,L,AL,A,A,C,L,C,C,AL,A,B,B,-,7,5,5,3,0,5,3,8,2,172,12
2019,4,S1,M2,A,A,A,D,B,L,B,B,B,L,L,L,B,E,L,A,A,D,L,A,A,AL,L,A,D,A,A,A,L,A,A,-,12,5,0,3,1,15,1,8,1,184,16
2019,4,S1,M3,A,L,C,E,C,L,A,A,A,A,D,B,L,L,B,B,B,L,E,C,C,C,C,L,L,B,B,B,B,AL,L,-,4,8,6,1,2,5,0,8,1,180,12
2019,4,S1,M4,C,C,L,L,L,E,L,L,C,C,E,C,C,L,C,C,C,E,L,B,B,B,B,B,E,L,AL,C,C,C,C,-,0,5,12,0,4,16,1,8,1,184,16
2019,4,S2,M5,C,L,L,C,C,C,C,C,C,L,L,D,B,B,B,B,B,L,B,B,B,B,L,C,C,C,C,L,A,A,L,-,2,9,10,1,0,10,0,8,0,180,4
2019,4,S2,M6,A,C,C,L,A,A,A,L,L,A,A,E,C,C,C,L,L,D,A,A,L,L,B,B,B,B,L,C,C,C,C,-,7,4,9,1,1,8,1,8,0,184,8
2019,4,S2,M7,A,A,A,A,L,B,B,B,B,B,B,L,A,A,L,A,A,E,C,L,A,A,A,A,L,L,A,A,L,L,A,-,14,6,1,0,1,14,1,8,0,180,4
2019,4,S2,M8,C,B,B,B,B,L,L,A,A,C,C,L,L,L,A,C,C,L,L,C,C,C,C,L,A,A,B,B,B,B,B,-,5,9,8,0,0,8,3,8,0,176,0
